t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
54.5,62.17,65.558,66.917,65.589,64.824,62.726,63.779,65.127,73.971,84.105,90.441,101.623
62.17,65.558,66.917,65.589,64.824,62.726,63.779,65.127,73.971,84.105,90.441,101.623,119.8
65.558,66.917,65.589,64.824,62.726,63.779,65.127,73.971,84.105,90.441,101.623,119.8,120.364
66.917,65.589,64.824,62.726,63.779,65.127,73.971,84.105,90.441,101.623,119.8,120.364,106.225
65.589,64.824,62.726,63.779,65.127,73.971,84.105,90.441,101.623,119.8,120.364,106.225,103.034
64.824,62.726,63.779,65.127,73.971,84.105,90.441,101.623,119.8,120.364,106.225,103.034,99.923
62.726,63.779,65.127,73.971,84.105,90.441,101.623,119.8,120.364,106.225,103.034,99.923,94.645
63.779,65.127,73.971,84.105,90.441,101.623,119.8,120.364,106.225,103.034,99.923,94.645,106.236
65.127,73.971,84.105,90.441,101.623,119.8,120.364,106.225,103.034,99.923,94.645,106.236,129.027
73.971,84.105,90.441,101.623,119.8,120.364,106.225,103.034,99.923,94.645,106.236,129.027,150.0
84.105,90.441,101.623,119.8,120.364,106.225,103.034,99.923,94.645,106.236,129.027,150.0,168.298
90.441,101.623,119.8,120.364,106.225,103.034,99.923,94.645,106.236,129.027,150.0,168.298,172.243
101.623,119.8,120.364,106.225,103.034,99.923,94.645,106.236,129.027,150.0,168.298,172.243,163.568
119.8,120.364,106.225,103.034,99.923,94.645,106.236,129.027,150.0,168.298,172.243,163.568,154.013
120.364,106.225,103.034,99.923,94.645,106.236,129.027,150.0,168.298,172.243,163.568,154.013,142.283
106.225,103.034,99.923,94.645,106.236,129.027,150.0,168.298,172.243,163.568,154.013,142.283,154.362
103.034,99.923,94.645,106.236,129.027,150.0,168.298,172.243,163.568,154.013,142.283,154.362,151.66
99.923,94.645,106.236,129.027,150.0,168.298,172.243,163.568,154.013,142.283,154.362,151.66,158.533
94.645,106.236,129.027,150.0,168.298,172.243,163.568,154.013,142.283,154.362,151.66,158.533,181.483
106.236,129.027,150.0,168.298,172.243,163.568,154.013,142.283,154.362,151.66,158.533,181.483,183.683
129.027,150.0,168.298,172.243,163.568,154.013,142.283,154.362,151.66,158.533,181.483,183.683,176.864
150.0,168.298,172.243,163.568,154.013,142.283,154.362,151.66,158.533,181.483,183.683,176.864,179.553
168.298,172.243,163.568,154.013,142.283,154.362,151.66,158.533,181.483,183.683,176.864,179.553,178.203
172.243,163.568,154.013,142.283,154.362,151.66,158.533,181.483,183.683,176.864,179.553,178.203,170.066
163.568,154.013,142.283,154.362,151.66,158.533,181.483,183.683,176.864,179.553,178.203,170.066,167.293
154.013,142.283,154.362,151.66,158.533,181.483,183.683,176.864,179.553,178.203,170.066,167.293,164.25
142.283,154.362,151.66,158.533,181.483,183.683,176.864,179.553,178.203,170.066,167.293,164.25,164.867
154.362,151.66,158.533,181.483,183.683,176.864,179.553,178.203,170.066,167.293,164.25,164.867,163.168
151.66,158.533,181.483,183.683,176.864,179.553,178.203,170.066,167.293,164.25,164.867,163.168,144.311
158.533,181.483,183.683,176.864,179.553,178.203,170.066,167.293,164.25,164.867,163.168,144.311,142.691
181.483,183.683,176.864,179.553,178.203,170.066,167.293,164.25,164.867,163.168,144.311,142.691,142.565
183.683,176.864,179.553,178.203,170.066,167.293,164.25,164.867,163.168,144.311,142.691,142.565,139.279
176.864,179.553,178.203,170.066,167.293,164.25,164.867,163.168,144.311,142.691,142.565,139.279,131.695
179.553,178.203,170.066,167.293,164.25,164.867,163.168,144.311,142.691,142.565,139.279,131.695,130.94
178.203,170.066,167.293,164.25,164.867,163.168,144.311,142.691,142.565,139.279,131.695,130.94,132.676
170.066,167.293,164.25,164.867,163.168,144.311,142.691,142.565,139.279,131.695,130.94,132.676,127.91
167.293,164.25,164.867,163.168,144.311,142.691,142.565,139.279,131.695,130.94,132.676,127.91,126.913
164.25,164.867,163.168,144.311,142.691,142.565,139.279,131.695,130.94,132.676,127.91,126.913,125.684
164.867,163.168,144.311,142.691,142.565,139.279,131.695,130.94,132.676,127.91,126.913,125.684,117.866
163.168,144.311,142.691,142.565,139.279,131.695,130.94,132.676,127.91,126.913,125.684,117.866,110.055
144.311,142.691,142.565,139.279,131.695,130.94,132.676,127.91,126.913,125.684,117.866,110.055,114.098
142.691,142.565,139.279,131.695,130.94,132.676,127.91,126.913,125.684,117.866,110.055,114.098,116.095
142.565,139.279,131.695,130.94,132.676,127.91,126.913,125.684,117.866,110.055,114.098,116.095,130.341
139.279,131.695,130.94,132.676,127.91,126.913,125.684,117.866,110.055,114.098,116.095,130.341,133.674
131.695,130.94,132.676,127.91,126.913,125.684,117.866,110.055,114.098,116.095,130.341,133.674,132.306
130.94,132.676,127.91,126.913,125.684,117.866,110.055,114.098,116.095,130.341,133.674,132.306,136.163
132.676,127.91,126.913,125.684,117.866,110.055,114.098,116.095,130.341,133.674,132.306,136.163,148.339
127.91,126.913,125.684,117.866,110.055,114.098,116.095,130.341,133.674,132.306,136.163,148.339,149.184
126.913,125.684,117.866,110.055,114.098,116.095,130.341,133.674,132.306,136.163,148.339,149.184,146.536
125.684,117.866,110.055,114.098,116.095,130.341,133.674,132.306,136.163,148.339,149.184,146.536,140.828
117.866,110.055,114.098,116.095,130.341,133.674,132.306,136.163,148.339,149.184,146.536,140.828,143.383
110.055,114.098,116.095,130.341,133.674,132.306,136.163,148.339,149.184,146.536,140.828,143.383,145.009
114.098,116.095,130.341,133.674,132.306,136.163,148.339,149.184,146.536,140.828,143.383,145.009,149.334
116.095,130.341,133.674,132.306,136.163,148.339,149.184,146.536,140.828,143.383,145.009,149.334,158.848
130.341,133.674,132.306,136.163,148.339,149.184,146.536,140.828,143.383,145.009,149.334,158.848,162.132
133.674,132.306,136.163,148.339,149.184,146.536,140.828,143.383,145.009,149.334,158.848,162.132,160.48
132.306,136.163,148.339,149.184,146.536,140.828,143.383,145.009,149.334,158.848,162.132,160.48,173.207
136.163,148.339,149.184,146.536,140.828,143.383,145.009,149.334,158.848,162.132,160.48,173.207,178.36
148.339,149.184,146.536,140.828,143.383,145.009,149.334,158.848,162.132,160.48,173.207,178.36,183.771
149.184,146.536,140.828,143.383,145.009,149.334,158.848,162.132,160.48,173.207,178.36,183.771,175.323
146.536,140.828,143.383,145.009,149.334,158.848,162.132,160.48,173.207,178.36,183.771,175.323,176.19
140.828,143.383,145.009,149.334,158.848,162.132,160.48,173.207,178.36,183.771,175.323,176.19,183.761
143.383,145.009,149.334,158.848,162.132,160.48,173.207,178.36,183.771,175.323,176.19,183.761,188.569
145.009,149.334,158.848,162.132,160.48,173.207,178.36,183.771,175.323,176.19,183.761,188.569,206.455
149.334,158.848,162.132,160.48,173.207,178.36,183.771,175.323,176.19,183.761,188.569,206.455,212.212
158.848,162.132,160.48,173.207,178.36,183.771,175.323,176.19,183.761,188.569,206.455,212.212,227.432
162.132,160.48,173.207,178.36,183.771,175.323,176.19,183.761,188.569,206.455,212.212,227.432,207.082
160.48,173.207,178.36,183.771,175.323,176.19,183.761,188.569,206.455,212.212,227.432,207.082,207.895
173.207,178.36,183.771,175.323,176.19,183.761,188.569,206.455,212.212,227.432,207.082,207.895,226.986
178.36,183.771,175.323,176.19,183.761,188.569,206.455,212.212,227.432,207.082,207.895,226.986,245.59
183.771,175.323,176.19,183.761,188.569,206.455,212.212,227.432,207.082,207.895,226.986,245.59,242.348
175.323,176.19,183.761,188.569,206.455,212.212,227.432,207.082,207.895,226.986,245.59,242.348,239.174
176.19,183.761,188.569,206.455,212.212,227.432,207.082,207.895,226.986,245.59,242.348,239.174,257.738
183.761,188.569,206.455,212.212,227.432,207.082,207.895,226.986,245.59,242.348,239.174,257.738,279.36
188.569,206.455,212.212,227.432,207.082,207.895,226.986,245.59,242.348,239.174,257.738,279.36,295.009
206.455,212.212,227.432,207.082,207.895,226.986,245.59,242.348,239.174,257.738,279.36,295.009,300.793
212.212,227.432,207.082,207.895,226.986,245.59,242.348,239.174,257.738,279.36,295.009,300.793,354.498
227.432,207.082,207.895,226.986,245.59,242.348,239.174,257.738,279.36,295.009,300.793,354.498,390.959
207.082,207.895,226.986,245.59,242.348,239.174,257.738,279.36,295.009,300.793,354.498,390.959,391.518
207.895,226.986,245.59,242.348,239.174,257.738,279.36,295.009,300.793,354.498,390.959,391.518,463.666
226.986,245.59,242.348,239.174,257.738,279.36,295.009,300.793,354.498,390.959,391.518,463.666,674.58
245.59,242.348,239.174,257.738,279.36,295.009,300.793,354.498,390.959,391.518,463.666,674.58,665.893
242.348,239.174,257.738,279.36,295.009,300.793,354.498,390.959,391.518,463.666,674.58,665.893,554.276
239.174,257.738,279.36,295.009,300.793,354.498,390.959,391.518,463.666,674.58,665.893,554.276,516.71
257.738,279.36,295.009,300.793,354.498,390.959,391.518,463.666,674.58,665.893,554.276,516.71,514.268
279.36,295.009,300.793,354.498,390.959,391.518,463.666,674.58,665.893,554.276,516.71,514.268,600.786
295.009,300.793,354.498,390.959,391.518,463.666,674.58,665.893,554.276,516.71,514.268,600.786,645.75
300.793,354.498,390.959,391.518,463.666,674.58,665.893,554.276,516.71,514.268,600.786,645.75,626.36
354.498,390.959,391.518,463.666,674.58,665.893,554.276,516.71,514.268,600.786,645.75,626.36,673.941
390.959,391.518,463.666,674.58,665.893,554.276,516.71,514.268,600.786,645.75,626.36,673.941,662.27
391.518,463.666,674.58,665.893,554.276,516.71,514.268,600.786,645.75,626.36,673.941,662.27,623.875
463.666,674.58,665.893,554.276,516.71,514.268,600.786,645.75,626.36,673.941,662.27,623.875,596.712
674.58,665.893,554.276,516.71,514.268,600.786,645.75,626.36,673.941,662.27,623.875,596.712,557.813
665.893,554.276,516.71,514.268,600.786,645.75,626.36,673.941,662.27,623.875,596.712,557.813,500.8
554.276,516.71,514.268,600.786,645.75,626.36,673.941,662.27,623.875,596.712,557.813,500.8,499.693
516.71,514.268,600.786,645.75,626.36,673.941,662.27,623.875,596.712,557.813,500.8,499.693,496.625
514.268,600.786,645.75,626.36,673.941,662.27,623.875,596.712,557.813,500.8,499.693,496.625,480.316
600.786,645.75,626.36,673.941,662.27,623.875,596.712,557.813,500.8,499.693,496.625,480.316,460.5
645.75,626.36,673.941,662.27,623.875,596.712,557.813,500.8,499.693,496.625,480.316,460.5,409.284
626.36,673.941,662.27,623.875,596.712,557.813,500.8,499.693,496.625,480.316,460.5,409.284,410.24
673.941,662.27,623.875,596.712,557.813,500.8,499.693,496.625,480.316,460.5,409.284,410.24,443.773
662.27,623.875,596.712,557.813,500.8,499.693,496.625,480.316,460.5,409.284,410.24,443.773,437.68
623.875,596.712,557.813,500.8,499.693,496.625,480.316,460.5,409.284,410.24,443.773,437.68,413.405
596.712,557.813,500.8,499.693,496.625,480.316,460.5,409.284,410.24,443.773,437.68,413.405,410.119
557.813,500.8,499.693,496.625,480.316,460.5,409.284,410.24,443.773,437.68,413.405,410.119,384.163
500.8,499.693,496.625,480.316,460.5,409.284,410.24,443.773,437.68,413.405,410.119,384.163,374.458
499.693,496.625,480.316,460.5,409.284,410.24,443.773,437.68,413.405,410.119,384.163,374.458,330.413
496.625,480.316,460.5,409.284,410.24,443.773,437.68,413.405,410.119,384.163,374.458,330.413,350.335
480.316,460.5,409.284,410.24,443.773,437.68,413.405,410.119,384.163,374.458,330.413,350.335,334.505
460.5,409.284,410.24,443.773,437.68,413.405,410.119,384.163,374.458,330.413,350.335,334.505,314.961
409.284,410.24,443.773,437.68,413.405,410.119,384.163,374.458,330.413,350.335,334.505,314.961,337.895
410.24,443.773,437.68,413.405,410.119,384.163,374.458,330.413,350.335,334.505,314.961,337.895,363.413
443.773,437.68,413.405,410.119,384.163,374.458,330.413,350.335,334.505,314.961,337.895,363.413,438.15
437.68,413.405,410.119,384.163,374.458,330.413,350.335,334.505,314.961,337.895,363.413,438.15,422.786
413.405,410.119,384.163,374.458,330.413,350.335,334.505,314.961,337.895,363.413,438.15,422.786,415.114
410.119,384.163,374.458,330.413,350.335,334.505,314.961,337.895,363.413,438.15,422.786,415.114,444.776
384.163,374.458,330.413,350.335,334.505,314.961,337.895,363.413,438.15,422.786,415.114,444.776,481.838
374.458,330.413,350.335,334.505,314.961,337.895,363.413,438.15,422.786,415.114,444.776,481.838,493.488
330.413,350.335,334.505,314.961,337.895,363.413,438.15,422.786,415.114,444.776,481.838,493.488,420.707
350.335,334.505,314.961,337.895,363.413,438.15,422.786,415.114,444.776,481.838,493.488,420.707,433.171
334.505,314.961,337.895,363.413,438.15,422.786,415.114,444.776,481.838,493.488,420.707,433.171,437.393
314.961,337.895,363.413,438.15,422.786,415.114,444.776,481.838,493.488,420.707,433.171,437.393,413.148
337.895,363.413,438.15,422.786,415.114,444.776,481.838,493.488,420.707,433.171,437.393,413.148,422.645
363.413,438.15,422.786,415.114,444.776,481.838,493.488,420.707,433.171,437.393,413.148,422.645,416.205
438.15,422.786,415.114,444.776,481.838,493.488,420.707,433.171,437.393,413.148,422.645,416.205,412.245
422.786,415.114,444.776,481.838,493.488,420.707,433.171,437.393,413.148,422.645,416.205,412.245,394.245
415.114,444.776,481.838,493.488,420.707,433.171,437.393,413.148,422.645,416.205,412.245,394.245,381.016
444.776,481.838,493.488,420.707,433.171,437.393,413.148,422.645,416.205,412.245,394.245,381.016,388.06
481.838,493.488,420.707,433.171,437.393,413.148,422.645,416.205,412.245,394.245,381.016,388.06,370.735
493.488,420.707,433.171,437.393,413.148,422.645,416.205,412.245,394.245,381.016,388.06,370.735,386.038
420.707,433.171,437.393,413.148,422.645,416.205,412.245,394.245,381.016,388.06,370.735,386.038,394.743
433.171,437.393,413.148,422.645,416.205,412.245,394.245,381.016,388.06,370.735,386.038,394.743,381.371
437.393,413.148,422.645,416.205,412.245,394.245,381.016,388.06,370.735,386.038,394.743,381.371,376.957
413.148,422.645,416.205,412.245,394.245,381.016,388.06,370.735,386.038,394.743,381.371,376.957,378.314
422.645,416.205,412.245,394.245,381.016,388.06,370.735,386.038,394.743,381.371,376.957,378.314,347.598
416.205,412.245,394.245,381.016,388.06,370.735,386.038,394.743,381.371,376.957,378.314,347.598,347.677
412.245,394.245,381.016,388.06,370.735,386.038,394.743,381.371,376.957,378.314,347.598,347.677,340.945
394.245,381.016,388.06,370.735,386.038,394.743,381.371,376.957,378.314,347.598,347.677,340.945,340.217
381.016,388.06,370.735,386.038,394.743,381.371,376.957,378.314,347.598,347.677,340.945,340.217,341.286
388.06,370.735,386.038,394.743,381.371,376.957,378.314,347.598,347.677,340.945,340.217,341.286,319.622
370.735,386.038,394.743,381.371,376.957,378.314,347.598,347.677,340.945,340.217,341.286,319.622,302.852
386.038,394.743,381.371,376.957,378.314,347.598,347.677,340.945,340.217,341.286,319.622,302.852,299.833
394.743,381.371,376.957,378.314,347.598,347.677,340.945,340.217,341.286,319.622,302.852,299.833,303.205
381.371,376.957,378.314,347.598,347.677,340.945,340.217,341.286,319.622,302.852,299.833,303.205,324.883
376.957,378.314,347.598,347.677,340.945,340.217,341.286,319.622,302.852,299.833,303.205,324.883,316.395
378.314,347.598,347.677,340.945,340.217,341.286,319.622,302.852,299.833,303.205,324.883,316.395,316.298
347.598,347.677,340.945,340.217,341.286,319.622,302.852,299.833,303.205,324.883,316.395,316.298,317.202
347.677,340.945,340.217,341.286,319.622,302.852,299.833,303.205,324.883,316.395,316.298,317.202,330.131
340.945,340.217,341.286,319.622,302.852,299.833,303.205,324.883,316.395,316.298,317.202,330.131,323.764
340.217,341.286,319.622,302.852,299.833,303.205,324.883,316.395,316.298,317.202,330.131,323.764,326.093
341.286,319.622,302.852,299.833,303.205,324.883,316.395,316.298,317.202,330.131,323.764,326.093,325.548
319.622,302.852,299.833,303.205,324.883,316.395,316.298,317.202,330.131,323.764,326.093,325.548,321.985
302.852,299.833,303.205,324.883,316.395,316.298,317.202,330.131,323.764,326.093,325.548,321.985,345.561
299.833,303.205,324.883,316.395,316.298,317.202,330.131,323.764,326.093,325.548,321.985,345.561,339.053
303.205,324.883,316.395,316.298,317.202,330.131,323.764,326.093,325.548,321.985,345.561,339.053,346.095
324.883,316.395,316.298,317.202,330.131,323.764,326.093,325.548,321.985,345.561,339.053,346.095,340.716
316.395,316.298,317.202,330.131,323.764,326.093,325.548,321.985,345.561,339.053,346.095,340.716,342.325
316.298,317.202,330.131,323.764,326.093,325.548,321.985,345.561,339.053,346.095,340.716,342.325,342.798
317.202,330.131,323.764,326.093,325.548,321.985,345.561,339.053,346.095,340.716,342.325,342.798,348.554
330.131,323.764,326.093,325.548,321.985,345.561,339.053,346.095,340.716,342.325,342.798,348.554,376.29
323.764,326.093,325.548,321.985,345.561,339.053,346.095,340.716,342.325,342.798,348.554,376.29,418.152
326.093,325.548,321.985,345.561,339.053,346.095,340.716,342.325,342.798,348.554,376.29,418.152,423.863
325.548,321.985,345.561,339.053,346.095,340.716,342.325,342.798,348.554,376.29,418.152,423.863,396.983
321.985,345.561,339.053,346.095,340.716,342.325,342.798,348.554,376.29,418.152,423.863,396.983,391.595
345.561,339.053,346.095,340.716,342.325,342.798,348.554,376.29,418.152,423.863,396.983,391.595,408.524
339.053,346.095,340.716,342.325,342.798,348.554,376.29,418.152,423.863,396.983,391.595,408.524,401.045
346.095,340.716,342.325,342.798,348.554,376.29,418.152,423.863,396.983,391.595,408.524,401.045,408.848
340.716,342.325,342.798,348.554,376.29,418.152,423.863,396.983,391.595,408.524,401.045,408.848,439.665
342.325,342.798,348.554,376.29,418.152,423.863,396.983,391.595,408.524,401.045,408.848,439.665,461.65
342.798,348.554,376.29,418.152,423.863,396.983,391.595,408.524,401.045,408.848,439.665,461.65,449.282
348.554,376.29,418.152,423.863,396.983,391.595,408.524,401.045,408.848,439.665,461.65,449.282,450.33
376.29,418.152,423.863,396.983,391.595,408.524,401.045,408.848,439.665,461.65,449.282,450.33,460.988
418.152,423.863,396.983,391.595,408.524,401.045,408.848,439.665,461.65,449.282,450.33,460.988,460.12
423.863,396.983,391.595,408.524,401.045,408.848,439.665,461.65,449.282,450.33,460.988,460.12,465.764
396.983,391.595,408.524,401.045,408.848,439.665,461.65,449.282,450.33,460.988,460.12,465.764,468.14
391.595,408.524,401.045,408.848,439.665,461.65,449.282,450.33,460.988,460.12,465.764,468.14,487.079
408.524,401.045,408.848,439.665,461.65,449.282,450.33,460.988,460.12,465.764,468.14,487.079,477.758
401.045,408.848,439.665,461.65,449.282,450.33,460.988,460.12,465.764,468.14,487.079,477.758,442.124
408.848,439.665,461.65,449.282,450.33,460.988,460.12,465.764,468.14,487.079,477.758,442.124,443.491
439.665,461.65,449.282,450.33,460.988,460.12,465.764,468.14,487.079,477.758,442.124,443.491,451.558
461.65,449.282,450.33,460.988,460.12,465.764,468.14,487.079,477.758,442.124,443.491,451.558,451.32
449.282,450.33,460.988,460.12,465.764,468.14,487.079,477.758,442.124,443.491,451.558,451.32,451.657
450.33,460.988,460.12,465.764,468.14,487.079,477.758,442.124,443.491,451.558,451.32,451.657,437.452
460.988,460.12,465.764,468.14,487.079,477.758,442.124,443.491,451.558,451.32,451.657,437.452,431.064
460.12,465.764,468.14,487.079,477.758,442.124,443.491,451.558,451.32,451.657,437.452,431.064,413.439
465.764,468.14,487.079,477.758,442.124,443.491,451.558,451.32,451.657,437.452,431.064,413.439,406.39
468.14,487.079,477.758,442.124,443.491,451.558,451.32,451.657,437.452,431.064,413.439,406.39,419.966
487.079,477.758,442.124,443.491,451.558,451.32,451.657,437.452,431.064,413.439,406.39,419.966,419.248
477.758,442.124,443.491,451.558,451.32,451.657,437.452,431.064,413.439,406.39,419.966,419.248,404.445
442.124,443.491,451.558,451.32,451.657,437.452,431.064,413.439,406.39,419.966,419.248,404.445,387.973
443.491,451.558,451.32,451.657,437.452,431.064,413.439,406.39,419.966,419.248,404.445,387.973,390.274
451.558,451.32,451.657,437.452,431.064,413.439,406.39,419.966,419.248,404.445,387.973,390.274,384.72
451.32,451.657,437.452,431.064,413.439,406.39,419.966,419.248,404.445,387.973,390.274,384.72,371.35
451.657,437.452,431.064,413.439,406.39,419.966,419.248,404.445,387.973,390.274,384.72,371.35,367.727
437.452,431.064,413.439,406.39,419.966,419.248,404.445,387.973,390.274,384.72,371.35,367.727,375.21
431.064,413.439,406.39,419.966,419.248,404.445,387.973,390.274,384.72,371.35,367.727,375.21,365.548
413.439,406.39,419.966,419.248,404.445,387.973,390.274,384.72,371.35,367.727,375.21,365.548,361.798
406.39,419.966,419.248,404.445,387.973,390.274,384.72,371.35,367.727,375.21,365.548,361.798,366.8
419.966,419.248,404.445,387.973,390.274,384.72,371.35,367.727,375.21,365.548,361.798,366.8,394.361
419.248,404.445,387.973,390.274,384.72,371.35,367.727,375.21,365.548,361.798,366.8,394.361,409.655
404.445,387.973,390.274,384.72,371.35,367.727,375.21,365.548,361.798,366.8,394.361,409.655,410.118
387.973,390.274,384.72,371.35,367.727,375.21,365.548,361.798,366.8,394.361,409.655,410.118,416.543
390.274,384.72,371.35,367.727,375.21,365.548,361.798,366.8,394.361,409.655,410.118,416.543,393.661
384.72,371.35,367.727,375.21,365.548,361.798,366.8,394.361,409.655,410.118,416.543,393.661,374.929
371.35,367.727,375.21,365.548,361.798,366.8,394.361,409.655,410.118,416.543,393.661,374.929,368.855
367.727,375.21,365.548,361.798,366.8,394.361,409.655,410.118,416.543,393.661,374.929,368.855,352.657
375.21,365.548,361.798,366.8,394.361,409.655,410.118,416.543,393.661,374.929,368.855,352.657,361.82
365.548,361.798,366.8,394.361,409.655,410.118,416.543,393.661,374.929,368.855,352.657,361.82,394.861
361.798,366.8,394.361,409.655,410.118,416.543,393.661,374.929,368.855,352.657,361.82,394.861,389.56
366.8,394.361,409.655,410.118,416.543,393.661,374.929,368.855,352.657,361.82,394.861,389.56,381.333
394.361,409.655,410.118,416.543,393.661,374.929,368.855,352.657,361.82,394.861,389.56,381.333,381.866
409.655,410.118,416.543,393.661,374.929,368.855,352.657,361.82,394.861,389.56,381.333,381.866,378.161
410.118,416.543,393.661,374.929,368.855,352.657,361.82,394.861,389.56,381.333,381.866,378.161,384.591
416.543,393.661,374.929,368.855,352.657,361.82,394.861,389.56,381.333,381.866,378.161,384.591,363.748
393.661,374.929,368.855,352.657,361.82,394.861,389.56,381.333,381.866,378.161,384.591,363.748,363.39
374.929,368.855,352.657,361.82,394.861,389.56,381.333,381.866,378.161,384.591,363.748,363.39,358.055
368.855,352.657,361.82,394.861,389.56,381.333,381.866,378.161,384.591,363.748,363.39,358.055,357.117
352.657,361.82,394.861,389.56,381.333,381.866,378.161,384.591,363.748,363.39,358.055,357.117,366.36
361.82,394.861,389.56,381.333,381.866,378.161,384.591,363.748,363.39,358.055,357.117,366.36,368.013
394.861,389.56,381.333,381.866,378.161,384.591,363.748,363.39,358.055,357.117,366.36,368.013,356.721
389.56,381.333,381.866,378.161,384.591,363.748,363.39,358.055,357.117,366.36,368.013,356.721,348.46
381.333,381.866,378.161,384.591,363.748,363.39,358.055,357.117,366.36,368.013,356.721,348.46,358.826
381.866,378.161,384.591,363.748,363.39,358.055,357.117,366.36,368.013,356.721,348.46,358.826,359.96
378.161,384.591,363.748,363.39,358.055,357.117,366.36,368.013,356.721,348.46,358.826,359.96,361.875
384.591,363.748,363.39,358.055,357.117,366.36,368.013,356.721,348.46,358.826,359.96,361.875,354.436
363.748,363.39,358.055,357.117,366.36,368.013,356.721,348.46,358.826,359.96,361.875,354.436,353.853
363.39,358.055,357.117,366.36,368.013,356.721,348.46,358.826,359.96,361.875,354.436,353.853,344.641
358.055,357.117,366.36,368.013,356.721,348.46,358.826,359.96,361.875,354.436,353.853,344.641,338.728
357.117,366.36,368.013,356.721,348.46,358.826,359.96,361.875,354.436,353.853,344.641,338.728,337.039
366.36,368.013,356.721,348.46,358.826,359.96,361.875,354.436,353.853,344.641,338.728,337.039,340.784
368.013,356.721,348.46,358.826,359.96,361.875,354.436,353.853,344.641,338.728,337.039,340.784,352.452
356.721,348.46,358.826,359.96,361.875,354.436,353.853,344.641,338.728,337.039,340.784,352.452,343.603
348.46,358.826,359.96,361.875,354.436,353.853,344.641,338.728,337.039,340.784,352.452,343.603,345.3
358.826,359.96,361.875,354.436,353.853,344.641,338.728,337.039,340.784,352.452,343.603,345.3,344.277
359.96,361.875,354.436,353.853,344.641,338.728,337.039,340.784,352.452,343.603,345.3,344.277,334.924
361.875,354.436,353.853,344.641,338.728,337.039,340.784,352.452,343.603,345.3,344.277,334.924,334.657
354.436,353.853,344.641,338.728,337.039,340.784,352.452,343.603,345.3,344.277,334.924,334.657,328.993
353.853,344.641,338.728,337.039,340.784,352.452,343.603,345.3,344.277,334.924,334.657,328.993,329.31
344.641,338.728,337.039,340.784,352.452,343.603,345.3,344.277,334.924,334.657,328.993,329.31,329.974
338.728,337.039,340.784,352.452,343.603,345.3,344.277,334.924,334.657,328.993,329.31,329.974,341.948
337.039,340.784,352.452,343.603,345.3,344.277,334.924,334.657,328.993,329.31,329.974,341.948,367.045
340.784,352.452,343.603,345.3,344.277,334.924,334.657,328.993,329.31,329.974,341.948,367.045,371.914
352.452,343.603,345.3,344.277,334.924,334.657,328.993,329.31,329.974,341.948,367.045,371.914,392.034
343.603,345.3,344.277,334.924,334.657,328.993,329.31,329.974,341.948,367.045,371.914,392.034,379.795
345.3,344.277,334.924,334.657,328.993,329.31,329.974,341.948,367.045,371.914,392.034,379.795,355.561
344.277,334.924,334.657,328.993,329.31,329.974,341.948,367.045,371.914,392.034,379.795,355.561,364.005
334.924,334.657,328.993,329.31,329.974,341.948,367.045,371.914,392.034,379.795,355.561,364.005,373.939
334.657,328.993,329.31,329.974,341.948,367.045,371.914,392.034,379.795,355.561,364.005,373.939,383.243
328.993,329.31,329.974,341.948,367.045,371.914,392.034,379.795,355.561,364.005,373.939,383.243,387.11
329.31,329.974,341.948,367.045,371.914,392.034,379.795,355.561,364.005,373.939,383.243,387.11,381.658
329.974,341.948,367.045,371.914,392.034,379.795,355.561,364.005,373.939,383.243,387.11,381.658,384.0
341.948,367.045,371.914,392.034,379.795,355.561,364.005,373.939,383.243,387.11,381.658,384.0,377.908
367.045,371.914,392.034,379.795,355.561,364.005,373.939,383.243,387.11,381.658,384.0,377.908,381.343
371.914,392.034,379.795,355.561,364.005,373.939,383.243,387.11,381.658,384.0,377.908,381.343,385.714
392.034,379.795,355.561,364.005,373.939,383.243,387.11,381.658,384.0,377.908,381.343,385.714,385.45
379.795,355.561,364.005,373.939,383.243,387.11,381.658,384.0,377.908,381.343,385.714,385.45,380.207
355.561,364.005,373.939,383.243,387.11,381.658,384.0,377.908,381.343,385.714,385.45,380.207,391.348
364.005,373.939,383.243,387.11,381.658,384.0,377.908,381.343,385.714,385.45,380.207,391.348,390.164
373.939,383.243,387.11,381.658,384.0,377.908,381.343,385.714,385.45,380.207,391.348,390.164,384.377
383.243,387.11,381.658,384.0,377.908,381.343,385.714,385.45,380.207,391.348,390.164,384.377,379.48
387.11,381.658,384.0,377.908,381.343,385.714,385.45,380.207,391.348,390.164,384.377,379.48,378.738
381.658,384.0,377.908,381.343,385.714,385.45,380.207,391.348,390.164,384.377,379.48,378.738,376.745
384.0,377.908,381.343,385.714,385.45,380.207,391.348,390.164,384.377,379.48,378.738,376.745,381.82
377.908,381.343,385.714,385.45,380.207,391.348,390.164,384.377,379.48,378.738,376.745,381.82,391.339
381.343,385.714,385.45,380.207,391.348,390.164,384.377,379.48,378.738,376.745,381.82,391.339,385.231
385.714,385.45,380.207,391.348,390.164,384.377,379.48,378.738,376.745,381.82,391.339,385.231,387.618
385.45,380.207,391.348,390.164,384.377,379.48,378.738,376.745,381.82,391.339,385.231,387.618,386.138
380.207,391.348,390.164,384.377,379.48,378.738,376.745,381.82,391.339,385.231,387.618,386.138,383.502
